category_name,sub_category_name,product_id,raw_product_id,product_name
Furniture,Bookcases,150,FUR-BO-10004080,"Ikea Stackable Bookrack, Traditional"
Furniture,Bookcases,294,FUR-BO-10001739,"Dania Classic Bookcase, Mobile"
Furniture,Bookcases,178,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish"
Furniture,Bookcases,197,FUR-BO-10003126,"Dania Library With Doors, Traditional"
Furniture,Bookcases,235,FUR-BUS-10002989,"Bush Classic Bookcase, Traditional"
Furniture,Bookcases,128,FUR-BO-10002214,"Dania Floating Shelf Set, Traditional"
Furniture,Bookcases,239,FUR-BO-10004980,"Bush Library With Doors, Mobile"
Furniture,Bookcases,28,FUR-BO-10001498,"Dania Classic Bookcase, Pine"
Furniture,Bookcases,137,FUR-SAF-10003540,"Safco Floating Shelf Set, Metal"
Furniture,Bookcases,237,FUR-BO-10001972,"O'Sullivan 4-Shelf Bookcase In Odessa Pine"
Furniture,Bookcases,13,FUR-BO-10000728,"Dania Corner Shelving, Traditional"
Furniture,Bookcases,285,FUR-BO-10003112,"Sauder Floating Shelf Set, Traditional"
Furniture,Bookcases,280,FUR-BO-10003991,"Bush Classic Bookcase, Traditional"
Furniture,Bookcases,202,FUR-BO-10003433,"Sauder Cornerstone Collection Library"
Furniture,Bookcases,71,FUR-BO-10000265,"Bush Floating Shelf Set, Pine"
Furniture,Bookcases,84,FUR-IKE-10001539,"Ikea Classic Bookcase, Pine"
Furniture,Bookcases,228,FUR-BO-10004407,"Ikea Floating Shelf Set, Metal"
Furniture,Bookcases,180,FUR-BO-10001295,"Safco Floating Shelf Set, Traditional"
Furniture,Bookcases,102,FUR-IKE-10002894,"Ikea Library With Doors, Traditional"
Furniture,Bookcases,86,FUR-BO-10003103,"Ikea Classic Bookcase, Metal"
